LFQ	114	0	0	0	0	0	0	0	32	10774	15985	0	0	11	2	10	6265	1855	593	1484	66	27371	4241	10020	19043	15867	13230	18228	5568	20016	11316	43	1704	5962	17405	7906	78562	40285	27708	0	0
LFQ	115	0	0	0	0	0	0	0	44	9939	15112	0	4	12	5	9	5750	1795	593	1335	40	24960	3867	9091	17921	14721	12421	17011	4923	18461	10700	36	1475	5309	15712	7269	72075	36477	25265	0	0
LFQ	116	0	0	0	0	0	0	0	42	9093	13718	0	1	5	2	5	5438	1683	562	1264	63	23124	3663	8455	16221	13316	11510	15937	4664	16715	9866	41	1366	4885	14398	6611	66532	33375	22692	0	0
LFQ	117	0	0	0	0	0	0	0	18	8165	13061	294	2	5	2	11	5094	1536	501	1254	67	20984	3479	7829	14801	12706	10288	14439	4249	15077	8883	445	1372	4324	13172	6180	59896	29721	21398	0	0
LFQ	118	0	0	0	0	0	0	0	23	7806	12079	0	6	5	3	9	4638	1430	480	1185	38	19399	3049	7124	13816	11503	9745	13682	3785	13806	8111	27	1169	4094	11945	5611	54981	27320	18461	0	0
LFQ	119	0	0	0	0	0	0	0	19	7028	11030	0	0	7	4	4	4348	1339	450	1027	39	17854	2748	6665	12561	10500	9059	12813	3396	12530	7362	29	1036	3592	10805	5270	50146	24715	16538	0	0
LFQ	120	0	0	0	0	0	0	0	20	6485	10374	0	2	3	5	7	4010	1106	399	898	39	16147	2550	6126	11382	9749	8279	11575	3131	11562	6907	18	944	3115	9645	4723	45500	22706	14910	0	0
LFQ	121	0	0	0	0	0	0	0	21	5798	9761	0	0	3	2	6	3663	1117	369	880	32	14589	2307	5639	10463	8816	7665	10734	2811	10440	6205	21	842	2806	8917	4296	40844	20541	13368	0	0
LFQ	122	0	0	0	0	0	0	0	20	5364	8663	0	2	4	0	1	3338	966	318	817	29	13150	2198	5072	9386	8058	6757	10069	2493	9582	5722	16	772	2539	8061	4013	37480	18477	12066	0	0
LFQ	123	0	0	0	0	0	0	0	19	4749	8136	0	0	4	1	3	3052	902	301	771	27	12170	1883	4520	8481	7398	6162	9023	2356	8675	5061	17	636	2302	7205	3583	33715	16724	10913	0	0
LFQ	124	0	0	0	0	0	0	0	18	4439	7284	0	2	4	3	7	2710	842	291	675	27	10864	1710	4347	7771	6948	5565	8343	2077	7685	4682	23	608	1987	6405	3249	30343	15103	9778	0	0
LFQ	125	0	0	0	0	0	0	0	12	4161	6791	0	3	4	4	6	2401	755	252	588	18	9759	1551	3779	6881	6042	5246	7596	1920	7040	4306	19	542	1764	5726	3148	27616	13440	8695	0	0
LFQ	126	0	0	0	0	0	0	0	9	3533	6088	0	2	2	1	3	2158	682	226	581	16	8966	1450	3520	6311	5581	4771	6962	1711	6339	3824	8	466	1564	5151	2673	24647	12082	7858	0	0
LFQ	127	0	0	0	0	0	0	0	14	3242	5545	0	3	3	0	2	1988	644	207	445	24	7999	1304	3121	5767	5144	4198	6169	1521	5754	3430	7	430	1456	4592	2451	22001	10904	6883	0	0
LFQ	128	0	0	0	0	0	0	0	6	2823	4806	0	1	4	5	0	1843	527	212	399	15	7256	1211	2827	5132	4470	3792	5498	1320	5005	3087	11	420	1257	4045	2162	19664	9727	6119	0	0
LFQ	129	0	0	0	0	0	0	0	8	2040	3579	0	1	4	0	0	1405	438	136	338	13	6348	1047	2450	4597	4041	3407	5046	1206	4512	2738	8	339	1086	3759	1894	17159	8453	5489	0	0
LFQ	130	0	0	0	0	0	0	0	3	645	1122	0	0	2	0	1	441	171	44	131	3	5344	852	2037	3713	3525	2783	4293	944	3630	2240	3	273	925	3001	1698	14543	7239	4606	0	0
LFQ	131	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2851	461	1126	2094	1983	1482	2624	192	1360	809	2	102	292	563	694	5320	2889	2133	0	0
# GC Content of first fragments. Use `grep ^GCF | cut -f 2-` to extract this part.
GCF	0.25	610
GCF	0.75	612
GCF	1.26	614
GCF	1.76	612
GCF	2.26	611
GCF	2.76	612
GCF	3.27	626
GCF	3.77	633
GCF	4.27	644
GCF	4.77	683
GCF	5.28	717
GCF	5.78	733
GCF	6.28	761
GCF	6.78	762
GCF	7.29	787
GCF	7.79	857
GCF	8.29	918
GCF	8.79	955
GCF	9.30	997
GCF	9.80	1058
GCF	10.30	1132
GCF	10.80	1164
GCF	11.31	1249
GCF	11.81	1338
GCF	12.31	1455
GCF	12.81	1598
GCF	13.32	1768
GCF	13.82	1968
GCF	14.32	2196
GCF	14.82	2491
GCF	15.33	2764
GCF	15.83	3199
GCF	16.33	3624
GCF	16.83	4188
GCF	17.34	4860
GCF	17.84	5668
GCF	18.34	6805
GCF	18.84	7971
GCF	19.35	9284
GCF	19.85	11059
GCF	20.35	12744
GCF	20.85	14692
GCF	21.36	16994
GCF	21.86	19363
GCF	22.36	22042
GCF	22.86	25384
GCF	23.37	28390
GCF	23.87	31875
GCF	24.37	35516
GCF	24.87	39863
GCF	25.38	43623
GCF	25.88	47239
GCF	26.38	51856
GCF	26.88	56452
GCF	27.39	61020
GCF	27.89	65865
GCF	28.39	70792
GCF	28.89	75038
GCF	29.40	79822
GCF	29.90	84792
GCF	30.40	89852
GCF	30.90	94315
GCF	31.41	98847
GCF	31.91	104846
GCF	32.41	109611
GCF	32.91	114303
GCF	33.42	119149
GCF	33.92	124091
GCF	34.42	129332
GCF	34.92	133434
GCF	35.43	137594
GCF	35.93	141791
GCF	36.43	145863
GCF	36.93	149745
GCF	37.44	153767
GCF	37.94	157009
GCF	38.44	160350
GCF	38.94	163578
GCF	39.45	166272
GCF	39.95	168820
GCF	40.45	170992
GCF	40.95	172679
GCF	41.46	174085
GCF	41.96	174989
GCF	42.46	175323
GCF	42.96	175024
GCF	43.47	175091
GCF	43.97	175663
GCF	44.47	175200
GCF	44.97	173390
GCF	45.48	172325
GCF	45.98	171967
GCF	46.48	170770
GCF	46.98	170289
GCF	47.49	169119
GCF	47.99	168677
GCF	48.49	167457
GCF	48.99	167469
GCF	49.50	165862
GCF	50.00	166515
GCF	50.50	166002
GCF	51.01	166124
GCF	51.51	165754
GCF	52.01	165729
GCF	52.51	165320
GCF	53.02	166012
GCF	53.52	166114
GCF	54.02	166332
GCF	54.52	167511
GCF	55.03	167587
GCF	55.53	168186
GCF	56.03	168450
GCF	56.53	168550
GCF	57.04	169549
GCF	57.54	169701
GCF	58.04	170041
GCF	58.54	170038
GCF	59.05	169563
GCF	59.55	168340
GCF	60.05	166327
GCF	60.55	164069
GCF	61.06	161508
GCF	61.56	158976
GCF	62.06	155729
GCF	62.56	152713
GCF	63.07	148376
GCF	63.57	144434
GCF	64.07	139749
GCF	64.57	135194
GCF	65.08	130087
GCF	65.58	124243
GCF	66.08	117548
GCF	66.58	111413
GCF	67.09	105783
GCF	67.59	99844
GCF	68.09	93728
GCF	68.59	88318
GCF	69.10	82306
GCF	69.60	76003
GCF	70.10	70059
GCF	70.60	64308
GCF	71.11	59506
GCF	71.61	54166
GCF	72.11	49663
GCF	72.61	44843
GCF	73.12	39922
GCF	73.62	36168
GCF	74.12	32850
GCF	74.62	30099
GCF	75.13	26497
GCF	75.63	23377
GCF	76.13	21057
GCF	76.63	18900
GCF	77.14	16827
GCF	77.64	15238
GCF	78.14	13631
GCF	78.64	12408
GCF	79.15	11219
GCF	79.65	10205
GCF	80.15	8831
GCF	80.65	7966
GCF	81.16	7095
GCF	81.66	6357
GCF	82.16	5721
GCF	82.66	5208
GCF	83.17	4492
GCF	83.67	4173
GCF	84.17	3797
GCF	84.67	3490
GCF	85.18	3179
GCF	85.68	2803
GCF	86.18	2641
GCF	86.68	2467
GCF	87.19	2333
GCF	87.69	2050
GCF	88.19	1943
GCF	88.69	1746
GCF	89.20	1678
GCF	89.70	1621
GCF	90.20	1487
GCF	90.70	1369
GCF	91.21	1343
GCF	91.71	1291
GCF	92.21	1233
GCF	92.71	1184
GCF	93.22	1157
GCF	93.72	1116
GCF	94.22	1076
GCF	94.72	1060
GCF	95.23	1033
GCF	95.98	1024
GCF	96.73	1015
GCF	97.24	1007
GCF	97.74	1002
GCF	98.99	1000
# GC Content of last fragments. Use `grep ^GCL | cut -f 2-` to extract this part.
GCL	0.25	2665
GCL	0.75	2664
GCL	1.26	2663
GCL	1.76	2669
GCL	2.26	2672
GCL	2.76	2671
GCL	3.27	2685
GCL	3.77	2704
GCL	4.27	2714
GCL	4.77	2730
GCL	5.28	2738
GCL	5.78	2736
GCL	6.28	2766
GCL	6.78	2768
GCL	7.29	2802
GCL	7.79	2884
GCL	8.29	2932
GCL	8.79	2986
GCL	9.30	3061
GCL	9.80	3139
GCL	10.30	3220
GCL	10.80	3273
GCL	11.31	3449
GCL	11.81	3551
GCL	12.31	3725
GCL	12.81	3864
GCL	13.32	4002
GCL	13.82	4180
GCL	14.32	4584
GCL	14.82	4809
GCL	15.33	5042
GCL	15.83	5428
GCL	16.33	5886
GCL	16.83	6782
GCL	17.34	7449
GCL	17.84	8185
GCL	18.34	9290
GCL	18.84	10446
GCL	19.35	11697
GCL	19.85	13688
GCL	20.35	15266
GCL	20.85	17147
GCL	21.36	19446
GCL	21.86	21974
GCL	22.36	24700
GCL	22.86	27733
GCL	23.37	30687
GCL	23.87	33869
GCL	24.37	37567
GCL	24.87	41946
GCL	25.38	45420
GCL	25.88	49436
GCL	26.38	53570
GCL	26.88	58508
GCL	27.39	63564
GCL	27.89	67848
GCL	28.39	72726
GCL	28.89	77170
GCL	29.40	82866
GCL	29.90	88009
GCL	30.40	92467
GCL	30.90	97299
GCL	31.41	101891
GCL	31.91	107009
GCL	32.41	112132
GCL	32.91	115620
GCL	33.42	121584
GCL	33.92	126607
GCL	34.42	131731
GCL	34.92	136186
GCL	35.43	140888
GCL	35.93	144828
GCL	36.43	148134
GCL	36.93	151850
GCL	37.44	156142
GCL	37.94	159675
GCL	38.44	162825
GCL	38.94	165944
GCL	39.45	168563
GCL	39.95	171054
GCL	40.45	174011
GCL	40.95	176101
GCL	41.46	177029
GCL	41.96	177281
GCL	42.46	178171
GCL	42.96	178968
GCL	43.47	178791
GCL	43.97	178219
GCL	44.47	177702
GCL	44.97	177799
GCL	45.48	176566
GCL	45.98	175877
GCL	46.48	175311
GCL	46.98	174295
GCL	47.49	173821
GCL	47.99	173257
GCL	48.49	173288
GCL	48.99	172969
GCL	49.50	171610
GCL	50.00	173407
GCL	50.50	172964
GCL	51.01	172971
GCL	51.51	173444
GCL	52.01	173203
GCL	52.51	173758
GCL	53.02	174102
GCL	53.52	175183
GCL	54.02	175443
GCL	54.52	175946
GCL	55.03	176736
GCL	55.53	177220
GCL	56.03	177694
GCL	56.53	178491
GCL	57.04	179355
GCL	57.54	180146
GCL	58.04	180632
GCL	58.54	180712
GCL	59.05	180235
GCL	59.55	179876
GCL	60.05	178454
GCL	60.55	176620
GCL	61.06	173826
GCL	61.56	170996
GCL	62.06	168360
GCL	62.56	164749
GCL	63.07	160886
GCL	63.57	157252
GCL	64.07	153302
GCL	64.57	148264
GCL	65.08	142680
GCL	65.58	136737
GCL	66.08	130568
GCL	66.58	124932
GCL	67.09	119933
GCL	67.59	114390
GCL	68.09	108349
GCL	68.59	102540
GCL	69.10	95869
GCL	69.60	89687
GCL	70.10	83710
GCL	70.60	77834
GCL	71.11	72994
GCL	71.61	66962
GCL	72.11	61696
GCL	72.61	57244
GCL	73.12	52745
GCL	73.62	48827
GCL	74.12	44821
GCL	74.62	42036
GCL	75.13	37736
GCL	75.63	34499
GCL	76.13	31808
GCL	76.63	29386
GCL	77.14	26739
GCL	77.64	24632
GCL	78.14	22810
GCL	78.64	21004
GCL	79.15	19478
GCL	79.65	18354
GCL	80.15	16355
GCL	80.65	15330
GCL	81.16	14312
GCL	81.66	13342
GCL	82.16	12583
GCL	82.66	12008
GCL	83.17	10865
GCL	83.67	10479
GCL	84.17	9931
GCL	84.67	9324
GCL	85.18	8992
GCL	85.68	8427
GCL	86.18	8182
GCL	86.68	7884
GCL	87.19	7692
GCL	87.69	7193
GCL	88.19	7044
GCL	88.69	6718
GCL	89.20	6659
GCL	89.70	6531
GCL	90.20	6257
GCL	90.70	6057
GCL	91.21	5994
GCL	91.71	5887
GCL	92.21	5799
GCL	92.71	5713
GCL	93.22	5633
GCL	93.72	5592
GCL	94.22	5540
GCL	94.72	5516
GCL	95.23	5510
GCL	95.73	5495
GCL	96.23	5466
GCL	96.73	5460
GCL	97.24	5441
GCL	97.74	5430
GCL	98.49	5433
GCL	99.50	5434
# ACGT content per cycle. Use `grep ^GCC | cut -f 2-` to extract this part. The columns are: cycle; A,C,G,T base counts as a percentage of all A/C/G/T bases [%]; and N and O counts as a percentage of all A/C/G/T bases [%]
GCC	1	25.74	24.27	24.03	25.96	0.00	0.00
GCC	2	25.92	24.13	23.85	26.10	0.00	0.00
GCC	3	25.77	24.17	24.04	26.02	0.00	0.00
GCC	4	25.88	24.12	23.92	26.08	0.00	0.00
GCC	5	25.71	24.36	24.10	25.83	0.00	0.00
GCC	6	25.92	24.13	23.89	26.07	0.00	0.00
GCC	7	25.86	24.24	23.93	25.97	0.00	0.00
GCC	8	25.79	24.19	24.00	26.02	0.00	0.00
GCC	9	25.99	24.04	23.76	26.21	0.00	0.00
GCC	10	25.92	24.09	23.82	26.17	0.00	0.00
GCC	11	25.82	24.18	23.91	26.09	0.00	0.00
GCC	12	26.04	23.94	23.71	26.30	0.00	0.00
GCC	13	25.99	24.03	23.76	26.22	0.00	0.00
GCC	14	25.96	24.09	23.78	26.17	0.00	0.00
GCC	15	26.02	24.00	23.73	26.26	0.00	0.00
GCC	16	26.03	23.96	23.73	26.28	0.00	0.00
GCC	17	25.88	24.14	23.89	26.09	0.00	0.00
GCC	18	26.07	23.90	23.72	26.32	0.00	0.00
GCC	19	25.97	24.03	23.77	26.23	0.00	0.00
GCC	20	25.90	24.07	23.83	26.20	0.00	0.00
GCC	21	26.10	23.88	23.70	26.32	0.00	0.00
GCC	22	26.02	23.96	23.75	26.27	0.00	0.00
GCC	23	25.89	24.08	23.84	26.19	0.00	0.00
GCC	24	26.07	23.90	23.65	26.38	0.00	0.00
GCC	25	25.98	24.00	23.77	26.25	0.00	0.00
GCC	26	25.93	24.05	23.76	26.26	0.00	0.00
GCC	27	26.10	23.93	23.68	26.29	0.00	0.00
GCC	28	26.00	24.01	23.75	26.24	0.00	0.00
GCC	29	25.95	24.02	23.82	26.21	0.00	0.00
GCC	30	26.01	23.95	23.74	26.29	0.00	0.00
GCC	31	26.02	23.97	23.74	26.26	0.00	0.00
GCC	32	25.94	24.03	23.79	26.24	0.00	0.00
GCC	33	26.08	23.93	23.67	26.32	0.00	0.00
GCC	34	26.04	23.97	23.66	26.34	0.00	0.00
GCC	35	25.95	24.06	23.80	26.20	0.00	0.00
GCC	36	25.99	23.97	23.74	26.30	0.00	0.00
GCC	37	26.01	24.01	23.74	26.24	0.00	0.00
GCC	38	25.99	24.02	23.73	26.25	0.00	0.00
GCC	39	26.02	23.92	23.68	26.39	0.00	0.00
GCC	40	26.01	23.95	23.75	26.28	0.00	0.00
GCC	41	25.93	24.04	23.82	26.21	0.00	0.00
GCC	42	26.07	23.92	23.68	26.33	0.00	0.00
GCC	43	26.05	23.95	23.69	26.31	0.00	0.00
GCC	44	25.93	24.03	23.82	26.22	0.00	0.00
GCC	45	26.06	23.91	23.69	26.34	0.00	0.00
GCC	46	25.99	24.00	23.76	26.25	0.00	0.00
GCC	47	26.01	23.99	23.75	26.25	0.00	0.00
GCC	48	26.07	23.90	23.68	26.34	0.00	0.00
GCC	49	26.04	23.92	23.73	26.31	0.00	0.00
GCC	50	25.95	24.06	23.80	26.19	0.00	0.00
GCC	51	26.07	23.93	23.73	26.28	0.00	0.00
GCC	52	26.11	23.89	23.64	26.37	0.00	0.00
GCC	53	26.02	23.98	23.70	26.30	0.00	0.00
GCC	54	26.09	23.85	23.65	26.41	0.00	0.00
GCC	55	26.06	23.87	23.73	26.34	0.00	0.00
GCC	56	26.08	23.93	23.71	26.28	0.00	0.00
GCC	57	26.18	23.79	23.60	26.43	0.00	0.00
GCC	58	26.14	23.81	23.68	26.37	0.00	0.00
GCC	59	26.15	23.88	23.62	26.35	0.00	0.00
GCC	60	26.15	23.80	23.66	26.40	0.00	0.00
GCC	61	26.14	23.84	23.61	26.42	0.00	0.00
GCC	62	26.21	23.82	23.57	26.40	0.00	0.00
GCC	63	26.29	23.67	23.53	26.51	0.00	0.00
GCC	64	26.28	23.65	23.51	26.56	0.00	0.00
GCC	65	26.23	23.73	23.56	26.48	0.00	0.00
GCC	66	26.36	23.56	23.43	26.65	0.00	0.00
GCC	67	26.33	23.63	23.45	26.58	0.00	0.00
GCC	68	26.33	23.63	23.49	26.55	0.00	0.00
GCC	69	26.41	23.55	23.37	26.67	0.00	0.00
GCC	70	26.40	23.58	23.39	26.64	0.00	0.00
GCC	71	26.42	23.58	23.34	26.66	0.00	0.00
GCC	72	26.57	23.47	23.20	26.76	0.00	0.00
GCC	73	26.47	23.48	23.29	26.77	0.00	0.00
GCC	74	26.59	23.35	23.21	26.85	0.00	0.00
GCC	75	26.60	23.29	23.20	26.91	0.00	0.00
GCC	76	26.63	23.32	23.09	26.96	0.00	0.00
GCC	77	26.72	23.29	23.08	26.91	0.00	0.00
GCC	78	26.78	23.16	23.03	27.03	0.00	0.00
GCC	79	26.74	23.19	23.03	27.04	0.00	0.00
GCC	80	26.79	23.13	23.00	27.08	0.00	0.00
GCC	81	26.95	22.97	22.87	27.21	0.00	0.00
GCC	82	26.96	23.04	22.77	27.23	0.00	0.00
GCC	83	26.94	23.02	22.79	27.25	0.00	0.00
GCC	84	27.06	22.90	22.72	27.32	0.00	0.00
GCC	85	27.11	22.88	22.67	27.34	0.00	0.00
GCC	86	27.15	22.74	22.66	27.44	0.00	0.00
GCC	87	27.23	22.67	22.59	27.51	0.00	0.00
GCC	88	27.20	22.69	22.49	27.62	0.00	0.00
GCC	89	27.24	22.66	22.44	27.66	0.00	0.00
GCC	90	27.36	22.59	22.43	27.61	0.00	0.00
GCC	91	27.38	22.52	22.37	27.73	0.00	0.00
GCC	92	27.45	22.46	22.32	27.76	0.00	0.00
GCC	93	27.65	22.31	22.15	27.89	0.00	0.00
GCC	94	27.67	22.27	22.14	27.92	0.00	0.00
GCC	95	27.58	22.24	22.16	28.02	0.00	0.00
GCC	96	27.72	22.18	22.01	28.08	0.00	0.00
GCC	97	27.71	22.18	21.99	28.11	0.00	0.00
GCC	98	27.87	22.07	21.89	28.17	0.00	0.00
GCC	99	27.94	21.96	21.87	28.23	0.00	0.00
GCC	100	28.00	21.84	21.79	28.37	0.00	0.00
GCC	101	28.05	21.89	21.72	28.34	0.00	0.00
GCC	102	28.16	21.77	21.56	28.51	0.00	0.00
GCC	103	28.15	21.80	21.54	28.52	0.00	0.00
GCC	104	28.28	21.65	21.46	28.61	0.00	0.00
GCC	105	28.40	21.52	21.43	28.65	0.00	0.00
GCC	106	28.47	21.51	21.29	28.74	0.00	0.00
GCC	107	28.52	21.45	21.29	28.75	0.00	0.00
GCC	108	28.53	21.36	21.18	28.94	0.00	0.00
GCC	109	28.58	21.32	21.07	29.03	0.00	0.00
GCC	110	28.63	21.29	21.01	29.07	0.00	0.00
GCC	111	28.67	21.21	21.04	29.08	0.00	0.00
GCC	112	28.83	21.10	20.85	29.22	0.00	0.00
GCC	113	28.81	21.06	20.99	29.15	0.00	0.00
GCC	114	28.91	20.91	20.78	29.39	0.00	0.00
GCC	115	29.03	20.85	20.71	29.41	0.00	0.00
GCC	116	29.03	20.86	20.69	29.42	0.00	0.00
GCC	117	29.13	20.78	20.61	29.48	0.00	0.00
GCC	118	29.29	20.67	20.51	29.52	0.00	0.00
GCC	119	29.24	20.57	20.48	29.71	0.00	0.00
GCC	120	29.26	20.57	20.31	29.86	0.00	0.00
GCC	121	29.37	20.53	20.35	29.75	0.00	0.00
GCC	122	29.56	20.32	20.14	29.98	0.00	0.00
GCC	123	29.62	20.35	20.15	29.88	0.00	0.00
GCC	124	29.59	20.19	20.21	30.01	0.00	0.00
GCC	125	29.68	20.23	20.11	29.98	0.00	0.00
GCC	126	29.70	20.13	20.04	30.14	0.00	0.00
GCC	127	29.84	20.09	19.99	30.08	0.00	0.00
GCC	128	30.06	19.76	19.69	30.50	0.00	0.00
GCC	129	30.26	19.54	19.44	30.76	0.00	0.00
GCC	130	32.22	17.69	17.64	32.44	0.00	0.00
GCC	131	40.11	9.81	9.46	40.62	0.00	0.00
# ACGT content per cycle, read oriented. Use `grep ^GCT | cut -f 2-` to extract this part. The columns are: cycle; A,C,G,T base counts as a percentage of all A/C/G/T bases [%]
GCT	1	25.41	24.57	23.74	26.28
GCT	2	25.48	24.45	23.54	26.53
GCT	3	25.52	24.55	23.66	26.27
GCT	4	25.58	24.40	23.64	26.38
GCT	5	25.37	24.52	23.94	26.17
GCT	6	25.60	24.41	23.61	26.39
GCT	7	25.58	24.41	23.75	26.26
GCT	8	25.52	24.40	23.80	26.29
GCT	9	25.75	24.32	23.47	26.45
GCT	10	25.83	24.31	23.60	26.25
GCT	11	25.72	24.36	23.73	26.18
GCT	12	25.84	24.28	23.37	26.51
GCT	13	25.69	24.22	23.57	26.52
GCT	14	25.58	24.27	23.60	26.56
GCT	15	25.74	24.20	23.52	26.54
GCT	16	25.94	24.06	23.63	26.37
GCT	17	25.68	24.28	23.75	26.29
GCT	18	25.95	24.05	23.57	26.44
GCT	19	25.85	24.14	23.66	26.35
GCT	20	25.74	24.32	23.58	26.36
GCT	21	25.95	24.11	23.47	26.47
GCT	22	25.85	24.14	23.57	26.44
GCT	23	25.67	24.27	23.65	26.41
GCT	24	25.91	24.02	23.53	26.54
GCT	25	25.85	24.09	23.68	26.38
GCT	26	25.86	24.07	23.74	26.33
GCT	27	26.01	24.06	23.56	26.38
GCT	28	25.96	24.11	23.65	26.28
GCT	29	25.80	24.13	23.71	26.36
GCT	30	25.93	24.12	23.58	26.37
GCT	31	25.94	24.05	23.66	26.35
GCT	32	25.82	24.20	23.62	26.36
GCT	33	25.94	24.05	23.55	26.46
GCT	34	26.02	23.92	23.71	26.35
GCT	35	25.87	24.05	23.81	26.28
GCT	36	26.00	23.97	23.74	26.29
GCT	37	25.93	24.11	23.64	26.32
GCT	38	25.86	24.15	23.60	26.39
GCT	39	25.96	24.03	23.56	26.44
GCT	40	25.94	24.03	23.68	26.36
GCT	41	25.90	24.08	23.78	26.24
GCT	42	26.06	24.03	23.57	26.34
GCT	43	26.05	24.00	23.64	26.31
GCT	44	25.85	24.13	23.72	26.30
GCT	45	25.94	24.00	23.60	26.46
GCT	46	25.94	24.05	23.71	26.30
GCT	47	25.92	24.05	23.69	26.34
GCT	48	26.08	23.96	23.62	26.33
GCT	49	26.07	23.92	23.73	26.28
GCT	50	25.91	24.08	23.78	26.23
GCT	51	26.03	24.02	23.63	26.32
GCT	52	26.10	23.94	23.58	26.37
GCT	53	25.91	24.04	23.64	26.41
GCT	54	26.05	23.93	23.57	26.45
GCT	55	26.16	23.91	23.69	26.24
GCT	56	26.09	24.01	23.63	26.27
GCT	57	26.16	23.91	23.48	26.45
GCT	58	26.13	23.92	23.58	26.37
GCT	59	26.11	23.93	23.58	26.39
GCT	60	26.10	23.93	23.52	26.44
GCT	61	26.12	23.92	23.52	26.43
GCT	62	26.05	23.96	23.43	26.56
GCT	63	26.22	23.82	23.38	26.58
GCT	64	26.28	23.81	23.36	26.55
GCT	65	26.16	23.89	23.40	26.55
GCT	66	26.34	23.70	23.28	26.68
GCT	67	26.37	23.76	23.32	26.55
GCT	68	26.28	23.82	23.30	26.60
GCT	69	26.40	23.80	23.12	26.69
GCT	70	26.30	23.75	23.21	26.74
GCT	71	26.32	23.77	23.15	26.76
GCT	72	26.51	23.67	23.01	26.82
GCT	73	26.43	23.70	23.07	26.80
GCT	74	26.47	23.64	22.93	26.97
GCT	75	26.55	23.57	22.92	26.95
GCT	76	26.57	23.56	22.85	27.02
GCT	77	26.60	23.50	22.87	27.03
GCT	78	26.69	23.39	22.80	27.12
GCT	79	26.65	23.44	22.78	27.13
GCT	80	26.69	23.48	22.65	27.17
GCT	81	26.85	23.35	22.49	27.31
GCT	82	26.85	23.31	22.50	27.34
GCT	83	26.76	23.27	22.54	27.43
GCT	84	26.87	23.23	22.39	27.50
GCT	85	26.91	23.22	22.33	27.53
GCT	86	26.95	23.22	22.19	27.64
GCT	87	27.11	23.07	22.19	27.63
GCT	88	27.12	23.08	22.10	27.70
GCT	89	27.12	23.01	22.09	27.77
GCT	90	27.13	23.03	22.00	27.84
GCT	91	27.25	23.00	21.89	27.85
GCT	92	27.19	22.93	21.85	28.02
GCT	93	27.47	22.76	21.70	28.07
GCT	94	27.37	22.69	21.72	28.22
GCT	95	27.30	22.72	21.68	28.29
GCT	96	27.45	22.65	21.54	28.36
GCT	97	27.45	22.63	21.54	28.37
GCT	98	27.53	22.55	21.40	28.51
GCT	99	27.63	22.46	21.36	28.55
GCT	100	27.63	22.38	21.26	28.74
GCT	101	27.60	22.31	21.29	28.79
GCT	102	27.75	22.21	21.12	28.93
GCT	103	27.75	22.23	21.11	28.91
GCT	104	27.78	22.18	20.93	29.11
GCT	105	27.92	22.05	20.90	29.13
GCT	106	27.96	21.98	20.82	29.24
GCT	107	28.01	21.93	20.81	29.25
GCT	108	28.01	21.79	20.74	29.46
GCT	109	28.08	21.71	20.68	29.53
GCT	110	28.04	21.70	20.60	29.66
GCT	111	28.23	21.68	20.57	29.52
GCT	112	28.33	21.40	20.55	29.72
GCT	113	28.20	21.58	20.47	29.75
GCT	114	28.41	21.42	20.27	29.89
GCT	115	28.53	21.24	20.31	29.92
GCT	116	28.38	21.35	20.20	30.07
GCT	117	28.54	21.21	20.18	30.08
GCT	118	28.52	21.24	19.95	30.30
GCT	119	28.57	21.19	19.86	30.38
GCT	120	28.64	21.06	19.83	30.47
GCT	121	28.71	21.06	19.81	30.41
GCT	122	28.75	20.81	19.66	30.79
GCT	123	28.75	20.85	19.65	30.75
GCT	124	28.82	20.96	19.44	30.78
GCT	125	28.66	20.80	19.54	31.00
GCT	126	28.58	20.64	19.52	31.26
GCT	127	28.68	20.49	19.60	31.23
GCT	128	28.97	20.19	19.26	31.59
GCT	129	29.55	19.63	19.35	31.47
GCT	130	31.42	15.07	20.26	33.25
GCT	131	38.51	0.00	19.27	42.22
# ACGT content per cycle for first fragments. Use `grep ^FBC | cut -f 2-` to extract this part. The columns are: cycle; A,C,G,T base counts as a percentage of all A/C/G/T bases [%]; and N and O counts as a percentage of all A/C/G/T bases [%]
FBC	1	25.77	24.26	24.02	25.95	0.00	0.00
FBC	2	25.94	24.12	23.84	26.09	0.00	0.00
FBC	3	25.80	24.15	24.04	26.01	0.00	0.00
FBC	4	25.90	24.10	23.93	26.06	0.00	0.00
FBC	5	25.72	24.36	24.11	25.81	0.00	0.00
FBC	6	25.92	24.13	23.91	26.04	0.00	0.00
FBC	7	25.87	24.23	23.94	25.96	0.00	0.00
FBC	8	25.78	24.20	24.01	26.02	0.00	0.00
FBC	9	25.98	24.02	23.78	26.21	0.00	0.00
FBC	10	25.95	24.08	23.81	26.17	0.00	0.00
FBC	11	25.81	24.18	23.91	26.10	0.00	0.00
FBC	12	26.04	23.94	23.72	26.29	0.00	0.00
FBC	13	26.00	24.02	23.75	26.23	0.00	0.00
FBC	14	25.98	24.10	23.79	26.14	0.00	0.00
FBC	15	26.01	24.00	23.74	26.25	0.00	0.00
FBC	16	26.06	23.94	23.73	26.27	0.00	0.00
FBC	17	25.87	24.13	23.90	26.10	0.00	0.00
FBC	18	26.07	23.90	23.71	26.32	0.00	0.00
FBC	19	25.96	24.02	23.80	26.21	0.00	0.00
FBC	20	25.92	24.03	23.84	26.21	0.00	0.00
